model,metric,mean,std
LogisticRegression,accuracy,0.9136529968178098,0.03648470099377071
LogisticRegression,balanced_accuracy,0.9141403162055337,0.037242452464729715
LogisticRegression,sensitivity_recall,0.9244268774703557,0.05538369624375501
LogisticRegression,specificity,0.9038537549407115,0.047353052996109
LogisticRegression,f1,0.9115228826260428,0.036288864933193166
LogisticRegression,roc_auc,0.9665301428965719,0.019373567443186246
LogisticRegression,pr_auc,0.9538229082140715,0.04751305114424474
LogisticRegression,mcc,0.8289739897749531,0.07287670793192626
SVM,accuracy,0.8991746877995614,0.03623596153457354
SVM,balanced_accuracy,0.8993214756258234,0.03519475928283161
SVM,sensitivity_recall,0.8948221343873518,0.03958355448445603
SVM,specificity,0.9038208168642952,0.05514939687620307
SVM,f1,0.8945288045288045,0.03844920321790141
SVM,roc_auc,0.9733260361824119,0.016637132280901218
SVM,pr_auc,0.9751523233765225,0.014149051528192614
SVM,mcc,0.79959224715615,0.07240040776824044
RandomForest,accuracy,0.9176055659877702,0.04760655815455791
RandomForest,balanced_accuracy,0.9182740447957839,0.04626668099019356
RandomForest,sensitivity_recall,0.9331225296442687,0.026418940990560046
RandomForest,specificity,0.903425559947299,0.07803418904259672
RandomForest,f1,0.9168333722226544,0.046093481277310736
RandomForest,roc_auc,0.976532720659074,0.017218306985697904
RandomForest,pr_auc,0.9779309123139409,0.01607444975288108
RandomForest,mcc,0.8374971063254556,0.0932997036764824
