class,subject,num_channels,min_samples,max_samples,unique_lengths,same_length,duration_sec,full_epochs
Alzheimer,patient1,19,76775,76775,[76775],True,599.8046875,74
Alzheimer,patient10,19,165261,165261,[165261],True,1291.1015625,161
Alzheimer,patient100,19,1024,1024,[1024],True,8.0,1
Alzheimer,patient101,19,1024,1024,[1024],True,8.0,1
Alzheimer,patient102,19,1024,1024,[1024],True,8.0,1
Alzheimer,patient103,19,1024,1024,[1024],True,8.0,1
Alzheimer,patient104,19,1024,1024,[1024],True,8.0,1
Alzheimer,patient105,19,1024,1024,[1024],True,8.0,1
Alzheimer,patient106,19,1024,1024,[1024],True,8.0,1
Alzheimer,patient107,19,1024,1024,[1024],True,8.0,1
Alzheimer,patient108,19,1024,1024,[1024],True,8.0,1
Alzheimer,patient109,19,1024,1024,[1024],True,8.0,1
Alzheimer,patient11,19,98765,98765,[98765],True,771.6015625,96
Alzheimer,patient110,19,1024,1024,[1024],True,8.0,1
Alzheimer,patient111,19,1024,1024,[1024],True,8.0,1
Alzheimer,patient112,19,1024,1024,[1024],True,8.0,1
Alzheimer,patient113,19,1024,1024,[1024],True,8.0,1
Alzheimer,patient114,19,1024,1024,[1024],True,8.0,1
Alzheimer,patient115,19,1024,1024,[1024],True,8.0,1
Alzheimer,patient116,19,1024,1024,[1024],True,8.0,1
Alzheimer,patient12,19,114983,114983,[114983],True,898.3046875,112
Alzheimer,patient13,19,107533,107533,[107533],True,840.1015625,105
Alzheimer,patient14,19,120986,120986,[120986],True,945.203125,118
Alzheimer,patient15,19,116493,116493,[116493],True,910.1015625,113
Alzheimer,patient16,19,126093,126093,[126093],True,985.1015625,123
Alzheimer,patient17,19,108429,108429,[108429],True,847.1015625,105
Alzheimer,patient18,19,108429,108429,[108429],True,847.1015625,105
Alzheimer,patient19,19,117799,117799,[117799],True,920.3046875,115
Alzheimer,patient2,19,101517,101517,[101517],True,793.1015625,99
Alzheimer,patient20,19,111271,111271,[111271],True,869.3046875,108
Alzheimer,patient21,19,118183,118183,[118183],True,923.3046875,115
Alzheimer,patient22,19,105421,105421,[105421],True,823.6015625,102
Alzheimer,patient23,19,110413,110413,[110413],True,862.6015625,107
Alzheimer,patient24,19,98240,98240,[98240],True,767.5,95
Alzheimer,patient25,19,89396,89396,[89396],True,698.40625,87
Alzheimer,patient26,19,117428,117428,[117428],True,917.40625,114
Alzheimer,patient27,19,106356,106356,[106356],True,830.90625,103
Alzheimer,patient28,19,105792,105792,[105792],True,826.5,103
Alzheimer,patient29,19,94810,94810,[94810],True,740.703125,92
Alzheimer,patient3,19,39309,39309,[39309],True,307.1015625,38
Alzheimer,patient30,19,71309,71309,[71309],True,557.1015625,69
Alzheimer,patient31,19,148071,148071,[148071],True,1156.8046875,144
Alzheimer,patient32,19,109428,109428,[109428],True,854.90625,106
Alzheimer,patient33,19,90509,90509,[90509],True,707.1015625,88
Alzheimer,patient34,19,124276,124276,[124276],True,970.90625,121
Alzheimer,patient35,19,96909,96909,[96909],True,757.1015625,94
Alzheimer,patient36,19,109197,109197,[109197],True,853.1015625,106
Alzheimer,patient37,19,1024,1024,[1024],True,8.0,1
Alzheimer,patient38,19,1024,1024,[1024],True,8.0,1
Alzheimer,patient39,19,1024,1024,[1024],True,8.0,1
Alzheimer,patient4,19,90509,90509,[90509],True,707.1015625,88
Alzheimer,patient40,19,1024,1024,[1024],True,8.0,1
Alzheimer,patient41,19,1024,1024,[1024],True,8.0,1
Alzheimer,patient42,19,1024,1024,[1024],True,8.0,1
Alzheimer,patient43,19,1024,1024,[1024],True,8.0,1
Alzheimer,patient44,19,1024,1024,[1024],True,8.0,1
Alzheimer,patient45,19,1024,1024,[1024],True,8.0,1
Alzheimer,patient46,19,1024,1024,[1024],True,8.0,1
Alzheimer,patient47,19,1024,1024,[1024],True,8.0,1
Alzheimer,patient48,19,1024,1024,[1024],True,8.0,1
Alzheimer,patient49,19,1024,1024,[1024],True,8.0,1
Alzheimer,patient5,19,102925,102925,[102925],True,804.1015625,100
Alzheimer,patient50,19,1024,1024,[1024],True,8.0,1
Alzheimer,patient51,19,1024,1024,[1024],True,8.0,1
Alzheimer,patient52,19,1024,1024,[1024],True,8.0,1
Alzheimer,patient53,19,1024,1024,[1024],True,8.0,1
Alzheimer,patient54,19,1024,1024,[1024],True,8.0,1
Alzheimer,patient55,19,1024,1024,[1024],True,8.0,1
Alzheimer,patient56,19,1024,1024,[1024],True,8.0,1
Alzheimer,patient57,19,1024,1024,[1024],True,8.0,1
Alzheimer,patient58,19,1024,1024,[1024],True,8.0,1
Alzheimer,patient59,19,1024,1024,[1024],True,8.0,1
Alzheimer,patient6,19,81549,81549,[81549],True,637.1015625,79
Alzheimer,patient60,19,1024,1024,[1024],True,8.0,1
Alzheimer,patient61,19,1024,1024,[1024],True,8.0,1
Alzheimer,patient62,19,1024,1024,[1024],True,8.0,1
Alzheimer,patient63,19,1024,1024,[1024],True,8.0,1
Alzheimer,patient64,19,1024,1024,[1024],True,8.0,1
Alzheimer,patient65,19,1024,1024,[1024],True,8.0,1
Alzheimer,patient66,19,1024,1024,[1024],True,8.0,1
Alzheimer,patient67,19,1024,1024,[1024],True,8.0,1
Alzheimer,patient68,19,1024,1024,[1024],True,8.0,1
Alzheimer,patient69,19,1024,1024,[1024],True,8.0,1
Alzheimer,patient7,19,98445,98445,[98445],True,769.1015625,96
Alzheimer,patient70,19,1024,1024,[1024],True,8.0,1
Alzheimer,patient71,19,1024,1024,[1024],True,8.0,1
Alzheimer,patient72,19,1024,1024,[1024],True,8.0,1
Alzheimer,patient73,19,1024,1024,[1024],True,8.0,1
Alzheimer,patient74,19,1024,1024,[1024],True,8.0,1
Alzheimer,patient75,19,1024,1024,[1024],True,8.0,1
Alzheimer,patient76,19,1024,1024,[1024],True,8.0,1
Alzheimer,patient77,19,1024,1024,[1024],True,8.0,1
Alzheimer,patient78,19,1024,1024,[1024],True,8.0,1
Alzheimer,patient79,19,1024,1024,[1024],True,8.0,1
Alzheimer,patient8,19,102285,102285,[102285],True,799.1015625,99
Alzheimer,patient80,19,1024,1024,[1024],True,8.0,1
Alzheimer,patient81,19,1024,1024,[1024],True,8.0,1
Alzheimer,patient82,19,1024,1024,[1024],True,8.0,1
Alzheimer,patient83,19,1024,1024,[1024],True,8.0,1
Alzheimer,patient84,19,1024,1024,[1024],True,8.0,1
Alzheimer,patient85,19,1024,1024,[1024],True,8.0,1
Alzheimer,patient86,19,1024,1024,[1024],True,8.0,1
Alzheimer,patient87,19,1024,1024,[1024],True,8.0,1
Alzheimer,patient88,19,1024,1024,[1024],True,8.0,1
Alzheimer,patient89,19,1024,1024,[1024],True,8.0,1
Alzheimer,patient9,19,78541,78541,[78541],True,613.6015625,76
Alzheimer,patient90,19,1024,1024,[1024],True,8.0,1
Alzheimer,patient91,19,1024,1024,[1024],True,8.0,1
Alzheimer,patient92,19,1024,1024,[1024],True,8.0,1
Alzheimer,patient93,19,1024,1024,[1024],True,8.0,1
Alzheimer,patient94,19,1024,1024,[1024],True,8.0,1
Alzheimer,patient95,19,1024,1024,[1024],True,8.0,1
Alzheimer,patient96,19,1024,1024,[1024],True,8.0,1
Alzheimer,patient97,19,1024,1024,[1024],True,8.0,1
Alzheimer,patient98,19,1024,1024,[1024],True,8.0,1
Alzheimer,patient99,19,1024,1024,[1024],True,8.0,1
Healthy,patient1,19,99469,99469,[99469],True,777.1015625,97
Healthy,patient10,19,97076,97076,[97076],True,758.40625,94
Healthy,patient100,19,146050,146050,[146050],True,1141.015625,142
Healthy,patient101,19,172930,172930,[172930],True,1351.015625,168
Healthy,patient102,19,191362,191362,[191362],True,1495.015625,186
Healthy,patient103,19,134657,134657,[134657],True,1052.0078125,131
Healthy,patient104,19,141236,141236,[141236],True,1103.40625,137
Healthy,patient105,19,165250,165250,[165250],True,1291.015625,161
Healthy,patient106,19,172801,172801,[172801],True,1350.0078125,168
Healthy,patient107,19,170498,170498,[170498],True,1332.015625,166
Healthy,patient108,19,172802,172802,[172802],True,1350.015625,168
Healthy,patient109,19,149377,149377,[149377],True,1167.0078125,145
Healthy,patient11,19,103424,103424,[103424],True,808.0,101
Healthy,patient110,19,154625,154625,[154625],True,1208.0078125,151
Healthy,patient111,19,312577,312577,[312577],True,2442.0078125,305
Healthy,patient112,19,139163,139163,[139163],True,1087.2109375,135
Healthy,patient113,19,131585,131585,[131585],True,1028.0078125,128
Healthy,patient114,19,169857,169857,[169857],True,1327.0078125,165
Healthy,patient115,19,148738,148738,[148738],True,1162.015625,145
Healthy,patient116,19,233895,233895,[233895],True,1827.3046875,228
Healthy,patient12,19,129716,129716,[129716],True,1013.40625,126
Healthy,patient13,19,100378,100378,[100378],True,784.203125,98
Healthy,patient14,19,105818,105818,[105818],True,826.703125,103
Healthy,patient15,19,100775,100775,[100775],True,787.3046875,98
Healthy,patient16,19,97421,97421,[97421],True,761.1015625,95
Healthy,patient17,19,102311,102311,[102311],True,799.3046875,99
Healthy,patient18,19,107815,107815,[107815],True,842.3046875,105
Healthy,patient19,19,105472,105472,[105472],True,824.0,103
Healthy,patient2,19,114445,114445,[114445],True,894.1015625,111
Healthy,patient20,19,113332,113332,[113332],True,885.40625,110
Healthy,patient21,19,101952,101952,[101952],True,796.5,99
Healthy,patient22,19,97639,97639,[97639],True,762.8046875,95
Healthy,patient23,19,101095,101095,[101095],True,789.8046875,98
Healthy,patient24,19,96192,96192,[96192],True,751.5,93
Healthy,patient25,19,103335,103335,[103335],True,807.3046875,100
Healthy,patient26,19,116749,116749,[116749],True,912.1015625,114
Healthy,patient27,19,103591,103591,[103591],True,809.3046875,101
Healthy,patient28,19,108685,108685,[108685],True,849.1015625,106
Healthy,patient29,19,113165,113165,[113165],True,884.1015625,110
Healthy,patient3,19,109709,109709,[109709],True,857.1015625,107
Healthy,patient30,19,1024,1024,[1024],True,8.0,1
Healthy,patient31,19,1024,1024,[1024],True,8.0,1
Healthy,patient32,19,1024,1024,[1024],True,8.0,1
Healthy,patient33,19,1024,1024,[1024],True,8.0,1
Healthy,patient34,19,1024,1024,[1024],True,8.0,1
Healthy,patient35,19,1024,1024,[1024],True,8.0,1
Healthy,patient36,19,1024,1024,[1024],True,8.0,1
Healthy,patient37,19,1024,1024,[1024],True,8.0,1
Healthy,patient38,19,1024,1024,[1024],True,8.0,1
Healthy,patient39,19,1024,1024,[1024],True,8.0,1
Healthy,patient4,19,130189,130189,[130189],True,1017.1015625,127
Healthy,patient40,19,1024,1024,[1024],True,8.0,1
Healthy,patient41,19,1024,1024,[1024],True,8.0,1
Healthy,patient42,19,288001,288001,[288001],True,2250.0078125,281
Healthy,patient43,19,233730,233730,[233730],True,1826.015625,228
Healthy,patient44,19,168706,168706,[168706],True,1318.015625,164
Healthy,patient45,19,276609,276609,[276609],True,2161.0078125,270
Healthy,patient46,19,167682,167682,[167682],True,1310.015625,163
Healthy,patient47,19,131074,131074,[131074],True,1024.015625,128
Healthy,patient48,19,238964,238964,[238964],True,1866.90625,233
Healthy,patient49,19,172162,172162,[172162],True,1345.015625,168
Healthy,patient5,19,113549,113549,[113549],True,887.1015625,110
Healthy,patient50,19,157441,157441,[157441],True,1230.0078125,153
Healthy,patient51,19,125518,125518,[125518],True,980.609375,122
Healthy,patient52,19,129538,129538,[129538],True,1012.015625,126
Healthy,patient53,19,211035,211035,[211035],True,1648.7109375,206
Healthy,patient54,19,167681,167681,[167681],True,1310.0078125,163
Healthy,patient55,19,119630,119630,[119630],True,934.609375,116
Healthy,patient56,19,220135,220135,[220135],True,1719.8046875,214
Healthy,patient57,19,164481,164481,[164481],True,1285.0078125,160
Healthy,patient58,19,175387,175387,[175387],True,1370.2109375,171
Healthy,patient59,19,165633,165633,[165633],True,1294.0078125,161
Healthy,patient6,19,124813,124813,[124813],True,975.1015625,121
Healthy,patient60,19,173364,173364,[173364],True,1354.40625,169
Healthy,patient61,19,132482,132482,[132482],True,1035.015625,129
Healthy,patient62,19,157697,157697,[157697],True,1232.0078125,154
Healthy,patient63,19,142722,142722,[142722],True,1115.015625,139
Healthy,patient64,19,137191,137191,[137191],True,1071.8046875,133
Healthy,patient65,19,159873,159873,[159873],True,1249.0078125,156
Healthy,patient66,19,123803,123803,[123803],True,967.2109375,120
Healthy,patient67,19,172546,172546,[172546],True,1348.015625,168
Healthy,patient68,19,135937,135937,[135937],True,1062.0078125,132
Healthy,patient69,19,155227,155227,[155227],True,1212.7109375,151
Healthy,patient7,19,106125,106125,[106125],True,829.1015625,103
Healthy,patient70,19,299649,299649,[299649],True,2341.0078125,292
Healthy,patient71,19,164660,164660,[164660],True,1286.40625,160
Healthy,patient72,19,136257,136257,[136257],True,1064.5078125,133
Healthy,patient73,19,155905,155905,[155905],True,1218.0078125,152
Healthy,patient74,19,169601,169601,[169601],True,1325.0078125,165
Healthy,patient75,19,165889,165889,[165889],True,1296.0078125,162
Healthy,patient76,19,147073,147073,[147073],True,1149.0078125,143
Healthy,patient77,19,260532,260532,[260532],True,2035.40625,254
Healthy,patient78,19,137998,137998,[137998],True,1078.109375,134
Healthy,patient79,19,127361,127361,[127361],True,995.0078125,124
Healthy,patient8,19,112845,112845,[112845],True,881.6015625,110
Healthy,patient80,19,166311,166311,[166311],True,1299.3046875,162
Healthy,patient81,19,120578,120578,[120578],True,942.015625,117
Healthy,patient82,19,177922,177922,[177922],True,1390.015625,173
Healthy,patient83,19,168449,168449,[168449],True,1316.0078125,164
Healthy,patient84,19,192002,192002,[192002],True,1500.015625,187
Healthy,patient85,19,214914,214914,[214914],True,1679.015625,209
Healthy,patient86,19,185473,185473,[185473],True,1449.0078125,181
Healthy,patient87,19,233857,233857,[233857],True,1827.0078125,228
Healthy,patient88,19,348801,348801,[348801],True,2725.0078125,340
Healthy,patient89,19,177588,177588,[177588],True,1387.40625,173
Healthy,patient9,19,110426,110426,[110426],True,862.703125,107
Healthy,patient90,19,145230,145230,[145230],True,1134.609375,141
Healthy,patient91,19,161794,161794,[161794],True,1264.015625,158
Healthy,patient92,19,171266,171266,[171266],True,1338.015625,167
Healthy,patient93,19,256130,256130,[256130],True,2001.015625,250
Healthy,patient94,19,106242,106242,[106242],True,830.015625,103
Healthy,patient95,19,170369,170369,[170369],True,1331.0078125,166
Healthy,patient96,19,132199,132199,[132199],True,1032.8046875,129
Healthy,patient97,19,174862,174862,[174862],True,1366.109375,170
Healthy,patient98,19,169857,169857,[169857],True,1327.0078125,165
Healthy,patient99,19,170407,170407,[170407],True,1331.3046875,166
